"Artists","Total_Songs","Songs_Played"
"Water Machine",4,0
"wavepool",2,0
"Wax Jaw",4,1
"Waxahatchee",1,1
"The Weather Station",4,2
"Wednesday",7,1
"Weird Nightmare",3,2
"The Welly Welly Wells",2,1
"The Wesleys",9,4
"Westerman",1,0
"Western Plaza",4,0
"Westside Cowboy",3,0
"Wet Leg",3,0
"Wet Sounds",1,0
"White Denim",14,0
"White Fence",10,2
"Whitehorse",1,0
"Whitney",4,0
"Why Bonnie",3,0
"Why Bother?",3,0
"Widowspeak",9,2
"Windows",3,2
"Winds",7,3
"Wine Lips",12,8
"Winter McQuinn",12,2
"Winter McQuinn & Acacia Pip",2,0
"WITCH",1,0
"Witch Post",2,0
"Wolf Willow",3,1
"Wombo",10,1
"The Won'ts",3,1
"Wooden Shjips",4,2
"The Wooden Sky",9,0
"Woods",5,0
"Work Wife",2,0
"Worthitpurchase",2,0
"Wut",8,4
"Wye Oak",4,0
"Wyldest",4,0
